Personnage, Type
WALL-E,Machine
EVE,Machine
Commandant,Vivant
Auto,Machine
Présentateur télé,Vivant
M O (robot nettoyeur),Machine
Cafard,Vivant
Plante,Vivant
Robot chef de la sécurité,Machine
John,Vivant
Marie,Vivant
Sécurité,Machine
Robot détraqué,Machine
