Personnages,Type
Lin Dong,A
Nancy,A
Li Sen,A
Femme,A
Soldat bioroide,A
André,A
Chercheurs,A
Chef police,A
Susane,A
La police,A
Vigies du spectacle,A
magicien,A
Gars louches,A
Sorcière,A
collocataire,A
Cauchemard,A
Ricols John,A
Vigie de l'auteur,A
Présentatrice tv,A
Le médecin,A
Nounours,A
Dr. Jams,A
