Personnages,Type
Lin Dong,Technique
Nancy,Politique
Li Sen,Technique
Femme,Militaire
Soldat bioroide,Militaire
André,Politique
Chercheurs,Science
Chef police,Politique
Susane,Technique
La police,Militaire
Vigies du spectacle,Militaire
magicien,Politique
Gars louches,Technique
Sorcière,Politique
collocataire,Politique
Cauchemard,NA
Ricols John,Technique
Vigie de l'auteur,Militaire
Présentatrice tv,Technique
Le médecin,Technique
Nounours,NA
Dr. Jams,Science
