Perso,Type
Jake Sully - Avatar,Technique
groupe de scientifiques dans l'espace,Science
frere de Jake,Science
militaires ,Technique
Colonel Miles,Technique
Norm Spellman - Avatar,Science
Na'vis,Technique
Biologistes,Science
Dr Max patel,Science
Grace - Avatar,Science
Parker Selfridge,Politique
Trudy Chacon (Pilote),Technique
Neytiri,Technique
Eywa (divinite),Religion
Tsu'Tey (frere de Neytiri),Technique
Moat (mere de Neytiri),Religion
Eytukan (pere de Neytiri),Politique
