Personnage, Type
WALL-E,Technique
EVE,Technique
Commandant,Politique
Auto,Technique
Présentateur télé,Politique
M O (robot nettoyeur),Technique
Cafard,NA
Plante,NA
Robot chef de la sécurité,Technique
John,Politique
Marie,Politique
Sécurité,Technique
Robot détraqué,Technique
