Personnage,Type
Dominick Cobb,Technique
Mallorie Cobb ,Technique
Stephen Miles,Science
Robert Fischer,Politique
Maurice Fisher,Politique
Peter Browning,Politique
Saito,Politique
Ariadne,Technique
Yusuf,Science
Arthur,Technique
Eames,Technique
James et Philippa,Indéfinis
Personnes dans la rue/Subconscient,Technique
Gardes du corps Saito,Technique
Vieil Homme,Science
Nash,Technique
Pisteur,Technique
Tireurs subconscient Robert Fischer,Technique
Tadashi (associé de Cobb),Technique
