Personnage,Type
Dominick Cobb,Vivant
Mallorie Cobb ,Souvenir
Stephen Miles,Vivant
Robert Fischer,Vivant
Maurice Fisher,Mort
Peter Browning,Vivant
Saito,Vivant
Ariadne,Vivant
Yusuf,Vivant
Arthur,Vivant
Eames,Vivant
James et Philippa,Vivant
Personnes dans la rue/Subconscient,Irréels
Gardes du corps Saito,Irréels
Vieil Homme,Vivant
Nash,Vivant
Pisteur,Vivant
Tireurs subconscient Robert Fischer,Irréels
Tadashi (associé de Cobb),Vivant
